source_id,target_id,relation,prov,namespace_source_id,namespace_target_id,source_to_target
MONDO:0000088,ICD10:E22.8,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000088,MESH:D011629,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000104,MESH:C567144,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000107,ICD10:Q75.8,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000107,MESH:C538270,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000107,SNOMED:702443003,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000107,ORPHANET:137888,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000110,ORPHANET:2695,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000110,ICD10:Q30.2,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000110,MESH:C535441,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000115,SNOMED:253184003,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000115,MESH:D001139,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000127,DOID:0111724,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000127,ORPHANET:2623,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000127,SNOMED:28557005,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000127,MEDDRA:10063361,xref,MONDO,MONDO,MEDDRA,MONDO to MEDDRA
MONDO:0000127,ICD10:Q87.1,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000128,MESH:D056768,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000128,SNOMED:128207002,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000129,SNOMED:28987007,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000133,ICD10:D84.8,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000133,DOID:0090007,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000133,SNOMED:234633000,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000133,ORPHANET:2268,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000133,MESH:C537362,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000136,ICD10:Q82.8,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000136,SNOMED:238626006,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000136,MESH:C536159,xref,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000136,ORPHANET:2340,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000138,SNOMED:28681006,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000141,SNOMED:700056005,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000141,ICD10:Q99.8,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000141,ORPHANET:1052,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000141,MESH:C536987,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000151,SNOMED:253975004,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000153,ICD10:Q20.3,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000153,ICD10:Q20.5,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000153,ORPHANET:216675,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000153,MESH:D014188,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000156,SNOMED:28740008,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000158,MESH:D006618,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000158,EFO:1000648,equivalent_to,MONDO,MONDO,EFO,MONDO to EFO
MONDO:0000158,SNOMED:52781008,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000159,MESH:C536572,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000160,DOID:0111689,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000170,ORPHANET:98938,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000170,ICD10:Q11.2,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000170,MESH:C537463,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000171,SNOMED:111504002,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000171,ORPHANET:899,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000171,MESH:D058494,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000171,DOID:0050560,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000171,ICD10:Q04.3,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000179,ORPHANET:2671,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000179,SNOMED:77817004,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000179,MESH:C536405,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000179,ICD10:Q87.8,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000190,MESH:D014693,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000190,EFO:0004287,equivalent_to,MONDO,MONDO,EFO,MONDO to EFO
MONDO:0000190,SNOMED:71908006,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000193,ICD10:E25.8,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000193,ORPHANET:168588,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000193,SNOMED:124138004,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000193,MESH:C536447,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000193,DOID:0090139,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000200,ORPHANET:3473,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000200,SNOMED:699447001,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000200,MESH:C536725,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000200,ICD10:Q87.8,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000209,ORPHANET:486811,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000211,ORPHANET:228169,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000211,MESH:C563783,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000212,MESH:C562999,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000212,SNOMED:276645004,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000214,SNOMED:768553002,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000214,DOID:0080535,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000222,SNOMED:301990003,xref,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000222,DOID:0050004,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000222,SNOMED:65049003,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000224,DOID:0050013,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000225,DOID:0050026,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000225,SNOMED:359747000,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000226,SNOMED:45744005,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000226,ICD10:E83,equivalent_to,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000227,SNOMED:415561000,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000227,DOID:0050035,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000229,DOID:0050042,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000229,ORPHANET:101335,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000230,DOID:0050043,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000231,SNOMED:472822008,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000231,DOID:0050046,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000232,DOID:0050047,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000233,DOID:0050050,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000234,DOID:0050051,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000236,DOID:0050059,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000237,MESH:D004887,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000237,DOID:0050061,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000237,ICD10:A26,equivalent_to,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000237,SNOMED:400105005,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000238,SNOMED:186287003,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000239,DOID:0050072,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000239,SNOMED:23892008,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000240,SNOMED:721798004,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000240,DOID:0050073,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000241,DOID:0050083,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000241,MESH:D003384,xref,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000241,MESH:C536166,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000241,SNOMED:46939000,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000241,EFO:0007226,equivalent_to,MONDO,MONDO,EFO,MONDO to EFO
MONDO:0000242,DOID:0050096,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000242,SNOMED:399329002,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000243,DOID:0050097,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000244,DOID:0050105,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000245,DOID:0050116,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000245,SNOMED:240699006,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000245,ICD10:B35.5,equivalent_to,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000248,DOID:0050125,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000248,MESH:D019595,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000248,SNOMED:409671005,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000249,SNOMED:15699003,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000249,DOID:0050129,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000250,SNOMED:2946003,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000250,DOID:0050130,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000252,SNOMED:95544006,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000252,DOID:0050132,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000253,MESH:D010854,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000253,SNOMED:402135006,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000254,DOID:0050134,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000254,SNOMED:14560005,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000255,DOID:0050135,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000256,SNOMED:399314004,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000256,DOID:0050136,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000257,SNOMED:409966000,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000257,DOID:0050140,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000259,DOID:0050143,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000261,DOID:0050145,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000261,ICD10:J35.02,equivalent_to,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000261,SNOMED:70020005,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000262,MESH:D059249,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000262,DOID:0050147,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000262,SNOMED:53316003,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000263,SNOMED:55130001,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000263,ICD10:J04.2,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000263,DOID:0050148,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000263,ICD10:J04,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000263,ICD10:J37.1,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000265,DOID:0050152,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000265,MESH:D011015,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000265,SNOMED:422588002,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000265,ICD10:J69.0,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000266,MESH:D055732,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000266,DOID:0050153,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000270,DOID:0050161,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000270,SNOMED:128272009,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000271,DOID:0050166,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000271,SNOMED:49558004,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000271,ICD10:A18.17,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000273,DOID:0050174,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000276,DOID:0050179,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000276,SNOMED:416707008,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000282,DOID:0050199,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000283,DOID:0050200,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000284,DOID:0050201,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000286,SNOMED:302919001,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000286,DOID:0050204,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000288,DOID:0050218,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000290,MESH:C535275,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000290,SNOMED:721816008,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000290,DOID:0050242,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000291,DOID:0050246,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000291,SNOMED:230187000,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000292,DOID:0050250,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000293,SNOMED:24360007,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000293,DOID:0050251,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000294,SNOMED:85750001,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000294,DOID:0050253,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000295,SNOMED:105713003,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000295,DOID:0050254,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000297,DOID:0050259,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000298,SNOMED:40410004,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000298,DOID:0050260,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000299,DOID:0050261,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000299,SNOMED:46477004,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000301,DOID:0050268,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000301,SNOMED:48216006,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000302,DOID:0050278,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000302,SNOMED:4921002,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000303,SNOMED:240783007,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000303,DOID:0050279,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000304,DOID:0050288,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000304,SNOMED:372936000,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000304,SNOMED:713315007,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000306,SNOMED:240761008,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000306,DOID:0050290,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000306,MESH:D060586,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000307,DOID:0050291,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000308,DOID:0050292,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000309,ICD10:H52.32,equivalent_to,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000309,DOID:0050304,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000309,MESH:D000839,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000309,EFO:1001266,equivalent_to,MONDO,MONDO,EFO,MONDO to EFO
MONDO:0000309,SNOMED:16059006,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000310,DOID:0050308,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000313,MESH:D017674,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000313,DOID:0050336,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000313,SNOMED:4996001,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000314,DOID:0050338,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000315,DOID:0050339,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000316,DOID:0050340,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000320,DOID:0050382,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000320,SNOMED:21857006,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000321,DOID:0050383,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000321,SNOMED:398554008,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000327,EFO:1001281,equivalent_to,MONDO,MONDO,EFO,MONDO to EFO
MONDO:0000327,DOID:0050456,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000327,SNOMED:15845006,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000327,MESH:D054312,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000327,ICD10:A31.1,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000328,MESH:D054559,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000328,DOID:0050459,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000328,SNOMED:20165001,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000330,DOID:0050481,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000330,ORPHANET:83315,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000330,MESH:D014437,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000330,MEDDRA:10028282,xref,MONDO,MONDO,MEDDRA,MONDO to MEDDRA
MONDO:0000330,ICD10:A75.2,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000331,DOID:0050484,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000332,SNOMED:21013006,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000332,DOID:0050485,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000332,MESH:C537582,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000333,DOID:0050488,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000333,SNOMED:4359001,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000334,ORPHANET:276399,xref,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000334,DOID:0050489,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000334,SNOMED:237570007,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000335,DOID:0050490,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000336,DOID:0050491,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000337,ICD10:B08.2,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000337,MESH:D005077,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000337,DOID:0050495,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000337,ICD10:B08.20,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000337,SNOMED:54385001,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000337,EFO:1001320,equivalent_to,MONDO,MONDO,EFO,MONDO to EFO
